#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 413.975483546  | 399.685334380 |
| 316200:6675 | 05/13/18 02:29:14 | 10   | 10   | 2.618914009    | 2.211424397   |
| 316201:6675 | 05/13/18 02:36:34 | 498  | 498  | 115.147785417  | 109.321982835 |
| 316202:6675 | 05/13/18 05:53:19 | 403  | 403  | 76.870637726   | 74.559495775  |
| 316216:6677 | 05/13/18 11:57:38 | 442  | 442  | 178.268796391  | 170.528273725 |
| 316217:6677 | 05/13/18 15:05:03 | 264  | 264  | 90.930616362   | 87.666244393  |
| 316218:6677 | 05/13/18 16:52:47 | 1008 | 1008 | 248.649327188  | 241.550206694 |
| 316219:6677 | 05/13/18 23:33:19 | 283  | 283  | 50.012075627   | 48.613036386  |
| 316239:6681 | 05/14/18 05:52:32 | 589  | 589  | 216.407702431  | 208.057702525 |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 291.604165823  | 281.796998762 |
| 316241:6681 | 05/14/18 17:44:39 | 325  | 325  | 54.912915190   | 52.825138614  |
| 316271:6683 | 05/15/18 00:23:54 | 86   | 86   | 31.901576936   | 29.544599595  |
| 316361:6688 | 05/15/18 17:14:35 | 189  | 189  | 28.505588847   | 26.438044545  |
| 316362:6688 | 05/15/18 18:35:04 | 425  | 425  | 55.739293336   | 53.974562558  |
| 316363:6688 | 05/15/18 21:30:58 | 48   | 48   | 4.951158633    | 4.613681872   |
| 316377:6690 | 05/16/18 01:56:02 | 21   | 21   | 3.234272247    | 1.981526849   |
| 316378:6690 | 05/16/18 02:06:22 | 29   | 29   | 6.212566335    | 3.337813234   |
| 316379:6690 | 05/16/18 02:20:12 | 70   | 70   | 14.531123673   | 8.187688022   |
| 316380:6690 | 05/16/18 02:51:00 | 1208 | 1208 | 179.440080939  | 175.381770588 |
| 316455:6693 | 05/16/18 19:16:25 | 36   | 36   | 9.867808524    | 9.561832329   |
| 316457:6693 | 05/16/18 19:38:28 | 1454 | 1454 | 334.739742099  | 325.317156172 |
| 316469:6694 | 05/17/18 07:48:25 | 428  | 428  | 153.270562205  | 148.167731330 |
| 316470:6694 | 05/17/18 11:54:09 | 476  | 476  | 120.491122838  | 116.366867886 |
| 316472:6694 | 05/17/18 15:00:34 | 328  | 328  | 67.801035247   | 65.928699894  |
| 316505:6696 | 05/18/18 00:24:11 | 1319 | 1319 | 411.849124386  | 398.651704924 |
| 316569:6700 | 05/19/18 02:15:13 | 1888 | 1888 | 495.833914422  | 482.069814759 |
| 316590:6702 | 05/19/18 20:55:25 | 510  | 510  | 194.022122874  | 187.965189191 |
| 316613:6706 | 05/20/18 07:52:22 | 193  | 193  | 32.097858281   | 31.440713387  |
| 316615:6706 | 05/20/18 09:12:45 | 338  | 338  | 50.051959344   | 49.139288456  |
| 316666:6709 | 05/20/18 21:51:33 | 981  | 981  | 288.547456562  | 277.499162193 |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 43.287572297   | 41.832091038  |
| 316700:6710 | 05/21/18 11:45:22 | 311  | 311  | 120.924788577  | 113.534173314 |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 149.639060401  | 142.952551455 |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 97.680874180   | 94.766994150  |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 3.322351087    | 2.973382873   |
| 316716:6711 | 05/22/18 01:30:21 | 181  | 181  | 69.272895961   | 61.383493305  |
| 316717:6711 | 05/22/18 02:44:00 | 192  | 192  | 66.170956224   | 62.958811919  |
| 316718:6711 | 05/22/18 04:00:35 | 311  | 311  | 93.014235408   | 89.560802126  |
| 316719:6711 | 05/22/18 06:17:36 | 136  | 136  | 35.117289610   | 32.203589529  |
| 316720:6711 | 05/22/18 07:16:06 | 182  | 182  | 42.820493718   | 41.413362920  |
| 316721:6711 | 05/22/18 08:29:42 | 15   | 15   | 3.319244685    | 3.235298989   |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 138.745135635  | 133.709450240 |
| 316723:6711 | 05/22/18 13:38:48 | 64   | 64   | 9.753361809    | 9.545561852   |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 468.705336250  | 452.500285836 |
| 316766:6714 | 05/23/18 05:50:20 | 2148 | 2148 | 574.898901781  | 557.188420924 |
| 316876:6719 | 05/24/18 23:17:15 | 610  | 610  | 235.324563125  | 215.266923287 |
| 316877:6719 | 05/25/18 03:18:15 | 395  | 395  | 114.540321455  | 110.445795768 |
| 316879:6719 | 05/25/18 06:01:35 | 156  | 156  | 38.316539322   | 36.301323345  |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 45.502655430   | 44.212419687  |
| 316985:6731 | 05/27/18 20:04:08 | 471  | 471  | 177.254765632  | 171.736250031 |
| 316993:6733 | 05/28/18 03:32:50 | 211  | 211  | 79.308863443   | 74.099294373  |
| 316994:6733 | 05/28/18 04:58:46 | 14   | 14   | 5.047591918    | 4.754695062   |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 190.860866146  | 185.190961737 |
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 8.275711161    | 7.799804803   |
| 317087:6738 | 05/28/18 23:14:11 | 741  | 741  | 251.921308136  | 242.214973398 |
| 317089:6738 | 05/29/18 04:46:51 | 1003 | 1003 | 220.191539206  | 211.808569642 |
| 317182:6741 | 05/30/18 09:15:46 | 1377 | 1377 | 419.735717199  | 404.134852855 |
| 317212:6744 | 05/31/18 02:42:17 | 140  | 140  | 54.037140937   | 50.914239853  |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 129.647411861  | 124.830470760 |
| 317279:6747 | 05/31/18 17:11:10 | 466  | 466  | 68.238496981   | 65.820284873  |
| 317291:6749 | 06/01/18 02:53:28 | 791  | 791  | 281.992742256  | 272.680060148 |
| 317292:6749 | 06/01/18 08:08:05 | 330  | 330  | 87.094635722   | 84.471736499  |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 126.451165478  | 122.863107837 |
| 317319:6751 | 06/01/18 19:42:33 | 139  | 139  | 56.524481687   | 53.270262560  |
| 317320:6751 | 06/01/18 20:37:54 | 1820 | 1820 | 474.174654336  | 457.989553959 |
| 317338:6752 | 06/02/18 10:48:26 | 42   | 42   | 15.842576190   | 13.545767750  |
| 317339:6752 | 06/02/18 11:06:14 | 163  | 163  | 68.039931563   | 65.444285673  |
| 317340:6752 | 06/02/18 12:17:48 | 418  | 418  | 147.010754260  | 139.802763582 |
| 317382:6755 | 06/03/18 16:34:21 | 71   | 71   | 27.627477375   | 23.997774390  |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 23.774414156   | 22.333282380  |
| 317391:6757 | 06/04/18 03:21:59 | 8    | 8    | 3.477443288    | 2.702451940   |
| 317392:6757 | 06/04/18 03:27:44 | 1898 | 1898 | 502.344011163  | 487.731493053 |
| 317435:6759 | 06/05/18 00:15:36 | 1397 | 1397 | 372.769062377  | 359.000176922 |
