#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 297050:5839 | 06/16/17 20:55:44 | 710  | 710  | 98.978919949   | 96.428215413  |
| 297056:5840 | 06/17/17 05:00:46 | 192  | 192  | 33.071621658   | 29.725433887  |
| 297057:5840 | 06/17/17 06:18:36 | 873  | 873  | 118.948810286  | 116.313628365 |
| 297099:5842 | 06/17/17 19:23:59 | 39   | 39   | 7.892004862    | 7.318024615   |
| 297100:5842 | 06/17/17 19:41:21 | 371  | 369  | 77.964542415   | 73.003433269  |
| 297101:5842 | 06/17/17 22:12:25 | 1085 | 1085 | 168.446277205  | 164.359874782 |
| 297113:5845 | 06/18/17 12:43:12 | 246  | 239  | 58.488860767   | 52.686474787  |
| 297114:5845 | 06/18/17 14:21:04 | 155  | 155  | 34.285852923   | 33.200504429  |
| 297175:5848 | 06/19/17 19:04:40 | 85   | 76   | 19.377208862   | 16.132417020  |
| 297176:5848 | 06/19/17 19:42:18 | 200  | 196  | 43.181585058   | 40.575993701  |
| 297177:5848 | 06/19/17 21:04:30 | 162  | 158  | 32.829473462   | 30.840349461  |
| 297178:5848 | 06/19/17 22:09:07 | 1347 | 1340 | 202.893840591  | 198.188465010 |
| 297179:5848 | 06/20/17 07:09:38 | 92   | 88   | 10.395116287   | 9.592359665   |
| 297215:5849 | 06/20/17 13:53:03 | 47   | 47   | 13.227416182   | 12.478042749  |
| 297218:5849 | 06/20/17 14:14:26 | 27   | 24   | 7.382552050    | 3.760129987   |
| 297219:5849 | 06/20/17 14:26:07 | 2608 | 2607 | 442.188534343  | 429.080566361 |
| 297224:5849 | 06/21/17 07:56:03 | 125  | 125  | 12.066771584   | 11.854684081  |
| 297225:5849 | 06/21/17 08:49:06 | 32   | 25   | 3.000707323    | 2.235653407   |
| 297227:5849 | 06/21/17 09:04:44 | 184  | 184  | 16.169613473   | 16.021121835  |
| 297292:5856 | 06/22/17 02:42:29 | 738  | 735  | 184.701658959  | 173.817820868 |
| 297293:5856 | 06/22/17 07:41:33 | 145  | 139  | 30.313196857   | 27.619552801  |
| 297296:5856 | 06/22/17 08:47:07 | 484  | 479  | 89.936178253   | 85.569009555  |
| 297308:5856 | 06/22/17 12:06:46 | 44   | 44   | 6.726172076    | 6.459707629   |
| 297359:5862 | 06/23/17 03:26:00 | 49   | 49   | 14.506186698   | 13.865320478  |
| 297411:5864 | 06/23/17 13:35:24 | 911  | 911  | 214.063955930  | 204.892754743 |
| 297424:5865 | 06/24/17 00:42:30 | 118  | 117  | 34.978696552   | 31.784767794  |
| 297425:5865 | 06/24/17 01:29:38 | 153  | 149  | 44.362835043   | 41.745067019  |
| 297426:5865 | 06/24/17 02:30:35 | 101  | 100  | 27.485686561   | 25.266496120  |
| 297429:5865 | 06/24/17 03:24:57 | 72   | 72   | 18.557828656   | 17.598453084  |
| 297430:5865 | 06/24/17 04:03:47 | 199  | 199  | 48.981608377   | 46.867593611  |
| 297431:5865 | 06/24/17 05:23:08 | 177  | 174  | 40.354221375   | 38.275438149  |
| 297432:5865 | 06/24/17 06:36:23 | 112  | 112  | 24.214348652   | 23.476967822  |
| 297433:5865 | 06/24/17 07:41:47 | 159  | 153  | 32.346747906   | 30.148986689  |
| 297434:5865 | 06/24/17 08:43:17 | 161  | 156  | 30.836600176   | 29.189562826  |
| 297435:5865 | 06/24/17 09:45:40 | 94   | 94   | 17.333205156   | 16.951879952  |
| 297467:5868 | 06/24/17 19:48:19 | 89   | 89   | 30.557529729   | 28.287565530  |
| 297468:5868 | 06/24/17 20:28:56 | 74   | 74   | 24.448956157   | 23.471248678  |
| 297469:5868 | 06/24/17 21:02:04 | 66   | 66   | 20.966055490   | 19.132253771  |
| 297483:5872 | 06/25/17 05:36:28 | 172  | 171  | 52.262089114   | 48.414626326  |
