#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 274441:4990 | 06/05/16 22:13:06 | 443  | 437  | 68.510124618   | 64.548154763  |
| 274442:4990 | 06/06/16 01:05:09 | 752  | 752  | 103.278232468  | 99.915776747  |
| 274954:5005 | 06/11/16 09:40:51 | 24   | 21   | 1.360833464    | 0.974299201   |
| 274955:5005 | 06/11/16 09:52:07 | 98   | 91   | 5.444347536    | 4.820249047   |
| 274968:5013 | 06/11/16 22:51:22 | 1206 | 1205 | 206.776285745  | 195.698191167 |
| 274969:5013 | 06/12/16 06:41:54 | 1007 | 1003 | 137.658934544  | 127.759847294 |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 5.763100816    | 4.336803270   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 101.595306930  | 98.459293387  |
| 274998:5017 | 06/13/16 04:19:30 | 732  | 725  | 122.789124838  | 114.126646971 |
| 274999:5017 | 06/13/16 09:04:45 | 1257 | 1252 | 172.086270513  | 164.254471311 |
| 275000:5017 | 06/13/16 17:15:35 | 140  | 140  | 16.957498114   | 15.947690931  |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 204.673305196  | 199.348167938 |
| 275059:5020 | 06/14/16 16:49:52 | 50   | 42   | 9.545888432    | 6.173177715   |
| 275066:5020 | 06/14/16 17:45:35 | 111  | 105  | 22.386851329   | 18.455626952  |
| 275067:5020 | 06/14/16 18:28:40 | 396  | 396  | 75.059030721   | 71.620415288  |
| 275068:5020 | 06/14/16 21:05:49 | 922  | 921  | 149.901049875  | 143.137051666 |
| 275073:5020 | 06/15/16 03:32:47 | 523  | 519  | 71.799329240   | 68.508877327  |
| 275074:5020 | 06/15/16 06:56:59 | 647  | 647  | 78.909614834   | 76.334143331  |
| 275124:5021 | 06/15/16 17:50:26 | 328  | 328  | 59.890434674   | 56.673718091  |
| 275125:5021 | 06/15/16 20:00:21 | 989  | 989  | 157.464292374  | 150.728668968 |
| 275282:5024 | 06/17/16 00:05:52 | 96   | 91   | 16.829140937   | 14.901711080  |
| 275283:5024 | 06/17/16 00:43:11 | 137  | 132  | 24.451785391   | 22.437984203  |
| 275284:5024 | 06/17/16 01:36:53 | 74   | 74   | 12.930305911   | 12.449042883  |
| 275290:5024 | 06/17/16 03:58:56 | 55   | 48   | 8.827541538    | 2.679610261   |
| 275291:5024 | 06/17/16 04:28:35 | 356  | 352  | 54.777260587   | 51.726835154  |
| 275292:5024 | 06/17/16 06:46:47 | 125  | 121  | 17.014721658   | 15.676582758  |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 26.019764090   | 25.137954003  |
| 275309:5026 | 06/17/16 13:48:15 | 573  | 570  | 87.344145999   | 82.747896268  |
| 275310:5026 | 06/17/16 17:32:53 | 1939 | 1935 | 231.967786294  | 223.928385640 |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 110.651646995  | 108.015049940 |
| 275319:5027 | 06/18/16 18:56:15 | 152  | 146  | 27.849970744   | 24.647863716  |
| 275337:5027 | 06/18/16 21:26:04 | 433  | 430  | 72.808404438   | 68.989273494  |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 78.279633955   | 75.749679520  |
| 275344:5028 | 06/19/16 08:18:25 | 293  | 287  | 55.037639196   | 50.722207375  |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 62.652247320   | 59.911242053  |
| 275370:5029 | 06/19/16 16:19:29 | 291  | 291  | 55.920212416   | 52.091600078  |
| 275371:5029 | 06/19/16 18:16:49 | 569  | 569  | 100.184760021  | 94.980778382  |
| 275375:5030 | 06/20/16 02:17:12 | 1327 | 1327 | 216.056607595  | 207.472096438 |
| 275376:5030 | 06/20/16 10:55:04 | 3096 | 3096 | 334.800524206  | 326.027958783 |
| 275657:5038 | 06/24/16 03:32:32 | 111  | 109  | 21.298721168   | 18.443209755  |
| 275658:5038 | 06/24/16 04:16:07 | 344  | 344  | 64.757702145   | 60.098561718  |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 3.062350979    | 2.957970429   |
| 275761:5043 | 06/25/16 04:24:16 | 11   | 11   | 2.346518266    | 1.681830829   |
| 275767:5043 | 06/25/16 05:31:36 | 8    | 8    | 1.611086953    | 0.712074914   |
| 275772:5043 | 06/25/16 06:28:17 | 61   | 61   | 11.821780444   | 10.451059191  |
| 275773:5043 | 06/25/16 06:53:33 | 21   | 12   | 4.000320022    | 1.193548300   |
| 275774:5043 | 06/25/16 07:01:55 | 317  | 316  | 59.075303038   | 55.616597704  |
| 275776:5043 | 06/25/16 09:11:23 | 149  | 143  | 26.301200392   | 23.487065373  |
| 275777:5043 | 06/25/16 10:12:24 | 304  | 304  | 51.032323243   | 48.382200483  |
