#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 280187:5279 | 09/05/16 20:24:23 | 67   | 60   | 17.621741859   | 13.371080747  |
| 280188:5279 | 09/05/16 20:50:25 | 253  | 250  | 66.904221509   | 62.262210176  |
| 280191:5279 | 09/05/16 22:40:17 | 908  | 906  | 189.518602112  | 180.805054779 |
| 280194:5279 | 09/06/16 05:36:21 | 238  | 238  | 38.265302105   | 37.123022422  |
| 280242:5282 | 09/06/16 15:43:40 | 637  | 628  | 158.169942524  | 149.332061360 |
| 280249:5282 | 09/06/16 19:52:07 | 1437 | 1435 | 250.281958387  | 241.480182990 |
| 280251:5282 | 09/07/16 05:14:58 | 371  | 371  | 48.858038831   | 47.592500760  |
| 280327:5287 | 09/08/16 08:23:13 | 50   | 44   | 12.070166671   | 8.819257340   |
| 280330:5287 | 09/08/16 08:46:53 | 870  | 862  | 197.492384454  | 187.767451300 |
| 280349:5287 | 09/08/16 14:27:22 | 635  | 625  | 110.993755326  | 105.115956164 |
| 280363:5287 | 09/08/16 18:47:24 | 367  | 360  | 53.311147716   | 50.468859201  |
| 280364:5287 | 09/08/16 21:09:57 | 1351 | 1351 | 162.516498428  | 156.605509724 |
| 280383:5288 | 09/09/16 08:41:13 | 10   | 9    | 2.775153047    | 0.250886140   |
| 280384:5288 | 09/09/16 08:48:48 | 47   | 40   | 12.076699663   | 7.897894046   |
| 280385:5288 | 09/09/16 09:11:36 | 2019 | 2019 | 383.736092052  | 368.580819356 |
| 281613:5331 | 09/25/16 06:03:32 | 803  | 803  | 11.599847011   | 9.854551302   |
| 281639:5338 | 09/26/16 07:45:13 | 136  | 132  | 21.083742404   | 19.206349049  |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 41.453981714   | 39.703344758  |
| 281693:5339 | 09/26/16 16:57:00 | 2191 | 2191 | 392.769987857  | 379.849391661 |
| 281707:5340 | 09/27/16 09:47:29 | 953  | 952  | 226.803343627  | 216.904518817 |
| 281726:5340 | 09/27/16 16:14:38 | 291  | 289  | 52.091087137   | 49.834009182  |
| 281727:5340 | 09/27/16 18:10:03 | 1605 | 1605 | 209.736411550  | 203.808378520 |
| 281797:5345 | 09/28/16 12:04:48 | 2052 | 2052 | 416.945918178  | 401.981324462 |
| 281975:5351 | 09/30/16 03:23:12 | 215  | 215  | 59.112936871   | 54.587500972  |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 356.897526974  | 343.304198236 |
| 282033:5352 | 09/30/16 21:30:43 | 43   | 40   | 11.104331376   | 8.351861766   |
| 282034:5352 | 09/30/16 21:48:05 | 35   | 35   | 10.009226756   | 8.733301256   |
| 282035:5352 | 09/30/16 22:03:01 | 47   | 42   | 12.980988862   | 9.514642292   |
| 282037:5352 | 09/30/16 22:24:14 | 1861 | 1861 | 348.879788549  | 334.747246177 |
| 282092:5355 | 10/02/16 13:49:37 | 1784 | 1784 | 309.686032921  | 299.676595342 |
| 282708:5391 | 10/09/16 08:39:30 | 8    | 8    | 2.529322482    | 2.144558253   |
| 282710:5391 | 10/09/16 08:49:08 | 9    | 9    | 2.750876258    | 0.350703733   |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 17.728019817   | 16.882291501  |
| 282730:5393 | 10/09/16 12:41:53 | 83   | 79   | 24.748320252   | 20.631795438  |
| 282731:5393 | 10/09/16 13:13:59 | 176  | 175  | 52.016358785   | 48.048286492  |
| 282732:5393 | 10/09/16 14:23:16 | 73   | 72   | 20.109355960   | 18.281461830  |
| 282733:5393 | 10/09/16 14:52:26 | 178  | 178  | 45.598420924   | 43.632313666  |
| 282734:5393 | 10/09/16 16:03:11 | 330  | 329  | 74.523498174   | 71.211183626  |
| 282735:5393 | 10/09/16 18:12:39 | 1823 | 1823 | 280.527990392  | 272.048476858 |
| 282800:5394 | 10/10/16 14:17:15 | 382  | 381  | 99.596521831   | 94.644856550  |
| 282807:5394 | 10/10/16 16:48:03 | 330  | 328  | 76.134671411   | 71.321820380  |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 287.645140749  | 278.819558372 |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 24.793098380   | 23.797366046  |
| 282917:5401 | 10/12/16 01:27:07 | 85   | 82   | 22.108953171   | 18.175425771  |
| 282918:5401 | 10/12/16 02:00:22 | 59   | 56   | 15.697498377   | 13.025008550  |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 60.010505303   | 57.863735171  |
| 282922:5401 | 10/12/16 05:09:33 | 137  | 137  | 28.881577056   | 25.785002110  |
| 282923:5401 | 10/12/16 06:04:20 | 226  | 226  | 44.249827779   | 40.888008019  |
| 283042:5405 | 10/12/16 22:38:59 | 10   | 10   | 2.704425251    | 1.435533013   |
